lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1.1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2.1,ar.1,sigma,nu,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.0448493
# Diagonal elements of inverse mass matrix:
# 0.00319644, 12.451, 1.03256, 0.360273, 0.187028, 0.147612, 0.345215, 0.514493, 0.798403, 0.727563, 0.140468, 0.0819042, 0.159118, 0.323224, 0.264165, 0.511924, 0.441222, 0.807933, 0.658663, 0.251041, 0.2528, 0.0154136, 0.227859
-185.84,0.966225,0.0448493,7,127,0,198.312,-0.128055,-2.52173,-0.485296,-1.52147,-0.511542,-0.730453,1.54144,-0.537665,-0.155061,-0.359505,4.14066,-0.293042,0.465244,1.08471,-0.683576,0.324678,0.95988,0.532917,-1.42558,0.168412,0.183407,0.281937,2.26048,-2.00944,-6.29989,-2.11812,-3.02456,6.38257,-2.22629,-0.642055,-1.48859,-0.0493518,0.0783528,0.182679,-0.115123,0.0546797,0.161656,0.0897497,-0.240085,-10.9111,-0.128055
-184.741,0.962641,0.0448493,7,127,0,192.207,-0.0881458,-10.3564,0.30202,-1.32328,-1.3453,-1.32451,0.274845,-2.16844,-0.630584,0.774579,2.58649,-0.118606,0.264643,0.441344,-0.57445,0.807005,0.46519,-0.240931,0.321038,0.351344,0.304503,0.359949,3.83603,0.781171,-3.42264,-3.47961,-3.42583,0.710884,-5.60866,-1.631,2.00344,-0.0416715,0.0929807,0.155063,-0.201829,0.283536,0.163442,-0.0846495,0.112795,-9.86741,-0.0881458
-188.561,0.784131,0.0448493,6,63,0,200.413,-0.180227,-4.9589,-1.39363,-0.579974,-0.628335,-0.413247,1.32205,-1.18227,-1.00839,-0.254008,4.54045,-0.265177,0.36841,0.473739,-0.562115,0.276838,1.43087,0.882594,-0.983306,0.244388,0.282089,0.435028,2.14023,-6.32773,-2.63334,-2.85292,-1.87633,6.00272,-5.36803,-4.57856,-1.15331,-0.0648059,0.090035,0.115776,-0.137374,0.0676559,0.349687,0.215695,-0.240308,-11.1528,-0.180227
-184.947,0.97823,0.0448493,6,63,0,199.618,-0.166341,-11.3131,0.860777,-1.26865,-0.979497,-1.10152,0.195387,-1.36723,0.455253,-0.53947,3.9807,-0.299544,0.415814,0.968641,-0.204871,0.749841,1.1365,-0.0457227,-0.202321,0.188603,0.251564,0.402654,3.14395,3.4265,-5.05011,-3.89909,-4.38481,0.777778,-5.44254,1.81223,-2.14747,-0.0564948,0.0784235,0.182688,-0.0386391,0.141422,0.214347,-0.00862342,-0.0381583,-10.6049,-0.166341
-189.881,0.788653,0.0448493,6,63,0,195.429,-0.118612,-10.0914,-0.499573,-0.511364,-0.856603,-0.150071,0.500904,-1.37172,-1.41063,-0.0614433,2.99038,-0.243436,0.481918,0.572657,-1.02059,0.151144,1.14041,1.45888,-0.15475,0.198953,0.421988,0.395706,2.95154,-1.49391,-1.52917,-2.56156,-0.448769,1.49789,-4.10197,-4.2183,-0.183738,-0.0484324,0.0958792,0.113932,-0.20305,0.0300707,0.226889,0.290248,-0.0307881,-10.2041,-0.118612
-185.203,0.979388,0.0448493,6,63,0,198.241,-0.130656,-10.5299,-0.37819,-0.552938,-0.90881,-0.565634,0.659346,-1.63165,-1.13024,-0.466531,3.84983,-0.312421,0.554261,0.634982,-0.646231,0.074122,0.917243,0.892068,-0.455467,0.147256,0.385369,0.427051,3.20881,-1.45597,-2.12872,-3.49877,-2.1776,2.53837,-6.2816,-4.35124,-1.79606,-0.0460058,0.0816182,0.0935048,-0.0951612,0.0109149,0.135069,0.131362,-0.0670701,-10.5319,-0.130656
-184.579,0.995383,0.0448493,6,127,0,194.376,-0.138255,-9.49372,-0.259734,-1.09831,-0.91782,-1.16933,0.23011,-1.68531,-1.10349,0.902668,3.45222,-0.65985,0.93622,1.68417,-0.718414,-0.0594111,0.781313,0.936396,0.0178151,0.101075,0.210908,0.375229,3.00512,-0.896657,-3.79159,-3.16851,-4.03678,0.794391,-5.81805,-3.80949,3.11621,-0.0666943,0.0946283,0.170227,-0.0726136,-0.00600497,0.0789711,0.0946461,0.00180066,-10.3904,-0.138255
-192.867,0.767735,0.0448493,6,63,0,201.234,-0.103527,-10.7472,-1.41042,-1.99092,-1.97135,-1.4401,0.544186,-1.05941,0.337766,-0.721186,2.0412,-0.389343,0.546874,0.556906,-0.675451,-0.348022,2.06456,-0.590539,0.496032,0.158503,0.304145,0.358696,2.0059,-2.87895,-4.06387,-4.02393,-2.93954,1.11079,-2.16247,0.689448,-1.47208,-0.0617121,0.0866812,0.0882713,-0.107061,-0.0551626,0.327239,-0.0936023,0.0786226,-10.1129,-0.103527
-186.784,0.975761,0.0448493,6,63,0,200.499,-0.190286,-7.75804,0.85453,-1.87095,-1.16962,-1.12058,0.298182,-1.24949,0.664752,0.156073,2.27367,-0.23291,0.333716,0.689865,-0.197735,1.09365,0.31183,-0.249341,-1.04486,0.214429,0.346645,0.376366,3.19838,1.94292,-4.25391,-2.65934,-2.54783,0.677969,-2.84093,1.51143,0.354858,-0.0499427,0.0715582,0.147927,-0.0424,0.23451,0.0668652,-0.0534658,-0.224048,-9.85392,-0.190286
-184.928,0.985954,0.0448493,7,127,0,194.697,-0.177788,-7.15306,0.529468,-1.6142,-1.06679,-1.19788,0.437136,-1.63282,0.905331,0.364167,2.69901,-0.224641,0.352757,0.533054,-0.405156,1.31642,0.115138,-0.156813,-0.753572,0.255483,0.33628,0.363436,2.75769,1.42904,-4.35675,-2.87927,-3.2331,1.17983,-4.40698,2.44349,0.982888,-0.0573921,0.0901237,0.136186,-0.103511,0.336325,0.0294159,-0.0400631,-0.192525,-10.1286,-0.177788
