lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1.1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2.1,ar.1,sigma,nu,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.0601976
# Diagonal elements of inverse mass matrix:
# 0.00294254, 12.3806, 0.914502, 0.324156, 0.127577, 0.115577, 0.346246, 0.512978, 0.690975, 0.996652, 0.107536, 0.0611637, 0.116957, 0.272375, 0.276801, 0.569864, 0.530634, 0.779439, 0.676932, 0.229967, 0.288628, 0.0150888, 0.229206
-189.77,0.497685,0.0601976,6,63,0,197.447,-0.156716,-9.79643,0.575862,-0.74423,-0.576175,-0.60419,0.0855228,-1.42518,-1.05588,0.453415,3.60469,-0.705683,1.15894,0.8556,-0.259156,0.582863,0.364534,1.27679,-0.405935,0.0974067,0.467147,0.370155,2.72993,2.0758,-2.68272,-2.07693,-2.17791,0.308283,-5.13733,-3.80613,1.63442,-0.0687383,0.112889,0.0833412,-0.0252436,0.0567748,0.035508,0.124368,-0.0395408,-10.5273,-0.156716
-187.318,0.743005,0.0601976,6,63,0,200.687,-0.125991,-6.93996,-1.61461,-1.97165,-1.05732,-1.0302,0.912395,-0.370547,-0.97844,0.321943,2.44453,-0.398887,0.557422,1.03327,-0.717619,0.871186,1.38371,-1.2902,-0.100122,0.160178,0.217141,0.401356,2.54536,-3.94696,-4.81976,-2.58464,-2.51835,2.23037,-0.905813,-2.39182,0.786998,-0.0638928,0.0892866,0.165507,-0.114947,0.139545,0.221639,-0.206662,-0.0160373,-10.0837,-0.125991
-184.628,0.998682,0.0601976,6,63,0,196.349,-0.148566,-6.5852,1.00664,-1.16118,-0.612755,-1.03507,0.721863,-2.06297,-0.826497,0.518937,3.20905,-0.111355,0.259494,0.474684,-0.226295,0.259764,0.502501,1.36016,-0.931226,0.35494,0.201196,0.303881,1.61586,3.23038,-3.7263,-1.96637,-3.32158,2.3165,-6.62018,-2.65228,1.6653,-0.0395242,0.092105,0.168485,-0.0803211,0.0922006,0.178358,0.482776,-0.33053,-10.7705,-0.148566
-185.135,0.881308,0.0601976,7,127,0,193.534,-0.127792,-2.34977,-1.54327,-0.807298,-0.438781,-0.729851,0.501118,-1.10333,0.108471,0.148406,6.25486,-0.341363,0.540546,0.937265,-0.688838,0.634811,0.830853,-0.438471,0.251033,0.195307,0.193591,0.475583,3.51,-9.65293,-5.04954,-2.74452,-4.56512,3.13442,-6.90117,0.678472,0.928257,-0.0666705,0.105572,0.183054,-0.134535,0.123983,0.162271,-0.0856363,0.0490285,-11.5679,-0.127792
-187.286,0.941712,0.0601976,6,63,0,195.894,-0.102911,0.160221,-1.21186,-0.516748,-0.359281,-0.411675,1.3087,-1.22085,-0.164626,1.1547,5.19549,-0.1766,0.341658,0.532572,-0.298683,1.20488,1.79677,0.367848,-1.71829,0.277841,0.355721,0.355289,3.10198,-6.29619,-2.68476,-1.86664,-2.13885,6.79932,-6.34292,-0.855313,5.99922,-0.0490667,0.0949267,0.14797,-0.0829865,0.334766,0.499217,0.102203,-0.47741,-11.1743,-0.102911
-187.185,0.91181,0.0601976,6,63,0,197.334,-0.154908,-7.65396,0.120908,-0.230057,-0.583498,-0.656431,0.389462,-1.78788,-0.186253,1.72996,5.87917,-0.0984246,0.48072,0.798593,-0.899532,-0.509166,0.565592,0.158329,-0.910972,0.240088,0.146565,0.43385,3.41366,0.71084,-1.35254,-3.43048,-3.85927,2.28971,-10.5113,-1.09501,10.1707,-0.0236306,0.115415,0.191733,-0.215967,-0.122245,0.135792,0.0380129,-0.218714,-11.4197,-0.154908
-190.061,0.920733,0.0601976,6,63,0,198.75,-0.137933,-9.10171,1.18608,-0.695287,-0.971983,-0.448185,0.504181,-0.833302,0.124137,2.12984,3.02271,-0.217405,0.51896,0.838509,-0.327173,1.74105,1.25665,-0.0593935,-0.719841,0.197585,0.126572,0.364114,2.66617,3.58518,-2.10165,-2.93802,-1.35473,1.52399,-2.51883,0.37523,6.43788,-0.0429559,0.102539,0.165677,-0.0646444,0.344005,0.248296,-0.0117353,-0.14223,-10.2883,-0.137933
-185.494,0.920306,0.0601976,6,63,0,198.312,-0.0642673,-10.5934,0.0822083,-0.155075,-0.571361,-0.237996,0.551995,-1.45098,-1.3787,-0.0976365,5.30343,-0.277124,0.489872,0.869018,-0.722859,-0.570696,1.32627,1.07138,-0.240223,0.191069,0.313437,0.460107,4.20636,0.435986,-0.82243,-3.03017,-1.2622,2.92746,-7.69514,-7.31183,-0.517808,-0.0529498,0.0935993,0.166042,-0.138116,-0.109042,0.253409,0.204707,-0.0458991,-11.0347,-0.0642673
-185.624,0.872966,0.0601976,6,63,0,196.587,-0.174969,-10.6205,-0.633859,-1.58544,-1.24416,-1.2901,0.386531,-1.35187,-1.2386,0.272148,3.09876,-0.514949,0.587554,1.09882,-0.834054,1.17425,1.18847,1.51544,0.437456,0.171892,0.241874,0.390639,3.90983,-1.96418,-4.91289,-3.85535,-3.99771,1.19777,-4.18912,-3.83813,0.843322,-0.0885157,0.100996,0.188878,-0.143367,0.201845,0.204289,0.260492,0.0751952,-10.0637,-0.174969
-185.792,0.995648,0.0601976,6,63,0,198.417,-0.108473,-3.99405,-0.7896,-2.05792,-0.725291,-1.16775,1.93542,-0.246819,-0.829954,0.306044,3.01584,-0.219153,0.328626,0.658777,-0.728138,0.125891,1.53689,0.283956,-1.44579,0.225993,0.21989,0.388133,2.47678,-2.38131,-6.20636,-2.18736,-3.52175,5.83691,-0.744367,-2.50301,0.922982,-0.0495272,0.0742672,0.148879,-0.164554,0.0284505,0.347327,0.064172,-0.326738,-10.3438,-0.108473
